id, X, Y, ele, Lat, Lon, slp, asp,svf,SurfType
'227', '139594.0', '614776.0', '2453.0', '46.407537', '7.630792', '8', '232', '0.87', 'vegetation'
'228', '139594.0', '614721.0', '2456.0', '46.407539', '7.630077', '16', '141', '0.81', 'vegetation'
'229', '139543.0', '614932.0', '2468.0', '46.407075', '7.632820', '27', '322', '0.85', 'debris'
'230', '139541.0', '614880.0', '2461.0', '46.407058', '7.632143', '10', '343', '0.87', 'debris'
'231', '139544.0', '614831.0', '2457.0', '46.407086', '7.631506', '10', '30', '0.82', 'coarse blocks'
'232', '139541.0', '614721.0', '2452.0', '46.407062', '7.630076', '7', '338', '0.89', 'debris'
'233', '139493.0', '614933.0', '2483.0', '46.406625', '7.632831', '12', '325', '0.87', 'debris'
'234', '139441.0', '614932.0', '2499.0', '46.406158', '7.632816', '23', '333', '0.86', 'debris'
'235', '139434.0', '614877.0', '2504.0', '46.406096', '7.632101', '24', '30', '0.80', 'coarse blocks'
'236', '139438.0', '614722.0', '2492.0', '46.406135', '7.630085', '35', '196', '0.78', 'debris'
'237', '139389.0', '614984.0', '2526.0', '46.405689', '7.633491', '25', '43', '0.82', 'coarse blocks'
'239', '139336.0', '614980.0', '2552.0', '46.405212', '7.633437', '25', '358', '0.82', 'coarse blocks'
'240', '139342.0', '614927.0', '2549.0', '46.405267', '7.632748', '32', '92', '0.79', 'coarse blocks'
'241', '139331.0', '614773.0', '2553.0', '46.405172', '7.630745', '28', '42', '0.68', 'coarse blocks'
'242', '139282.0', '614981.0', '2582.0', '46.404726', '7.633448', '31', '352', '0.79', 'coarse blocks'
'243', '139268.0', '614881.0', '2575.0', '46.404602', '7.632147', '29', '349', '0.72', 'coarse blocks'
'244', '139230.0', '614930.0', '2606.0', '46.404259', '7.632783', '33', '355', '0.72', 'coarse blocks'
'245', '139241.0', '614876.0', '2592.0', '46.404360', '7.632082', '28', '342', '0.63', 'coarse blocks'
'246', '139500.0', '615970.0', '2761.0', '46.406664', '7.646317', '20', '261', '0.85', 'coarse blocks'
'247', '139488.0', '615998.0', '2772.0', '46.406556', '7.646680', '24', '273', '0.84', 'coarse blocks'
'249', '139433.0', '615684.0', '2653.0', '46.406068', '7.642595', '25', '309', '0.77', 'coarse blocks'
'250', '139510.0', '615924.0', '2745.0', '46.406755', '7.645719', '24', '292', '0.82', 'coarse blocks'
'251', '139397.0', '615649.0', '2655.0', '46.405745', '7.642139', '30', '320', '0.74', 'coarse blocks'
'252', '139426.0', '615629.0', '2640.0', '46.406007', '7.641880', '13', '324', '0.80', 'coarse blocks'
'253', '139448.0', '615616.0', '2636.0', '46.406205', '7.641711', '4', '304', '0.79', 'coarse blocks'
'254', '139426.0', '615508.0', '2610.0', '46.406010', '7.640306', '27', '321', '0.75', 'coarse blocks'
'255', '139438.0', '615506.0', '2607.0', '46.406118', '7.640281', '21', '329', '0.77', 'coarse blocks'
'256', '139391.0', '615442.0', '2602.0', '46.405696', '7.639447', '22', '339', '0.73', 'coarse blocks'
'257', '139408.0', '615408.0', '2586.0', '46.405850', '7.639005', '27', '331', '0.75', 'coarse blocks'
'258', '139413.0', '615368.0', '2572.0', '46.405896', '7.638485', '23', '299', '0.77', 'coarse blocks'

