"Group.1","ele","slp","svf","aspC","aspS","asp"
1,923.30294064715,15.2575746934994,0.96,0.852329348775203,-0.473095710442339,330.967005605611
2,436.521418805115,0.432778129581182,0.98,0.540824453781036,-0.840193006289128,302.769008467199
3,826.389256107078,11.1245755631402,0.97,0.683237627260307,0.693701519502095,45.4354043701389
4,1982.28532036675,32.1113083170322,0.89,-0.721042253212059,0.310669144600331,156.690663978502
5,1337.02436017811,21.3301772920176,0.93,-0.59083544814915,0.738832317554219,128.648911615388
6,893.481073475193,14.1175548113572,0.96,0.183147484312783,-0.954213527974486,280.864963062481
7,395.722408006959,5.332189978342,0.99,0.990380513796449,-0.0372827242903601,357.844127069654
8,1239.30425860619,21.5513733310661,0.93,0.433841894172201,-0.851303845517639,297.004323515163
9,538.777824361622,36.5130188740372,0.87,-0.896337172617794,0.341182492328406,159.161133725421
10,869.753135380896,35.5712802055713,0.86,-0.730084495278693,0.604857374214985,140.359072179101
11,435.098803869847,5.1232614079774,0.99,-0.991664040890213,-0.0470082315614329,182.713982222128
12,335.631498620805,6.16030886063093,0.98,0.96710625390177,0.19553559178058,11.4303270551368
13,904.008880759559,30.5045086935016,0.89,-0.697009052488387,-0.643243561934766,222.702757851304
14,410.709588524853,20.4493383673383,0.95,0.480970371423377,0.847516657132585,60.4248507762776
15,625.201971297413,9.40844694101084,0.99,-0.986433864448268,0.067234801346543,176.10078125614
16,1179.23823419371,18.3718691916699,0.94,0.934098451821662,-0.208323569244191,347.427586894263
17,1112.17191553004,18.9956185394925,0.93,-0.174860048025776,0.937736907499539,100.562648852889
18,442.901811444542,5.81730213491181,0.99,0.968866524521659,-0.219982506952067,347.207792439562
19,1848.23087069522,31.220689168139,0.88,0.643155284502992,0.569193424267065,41.5088784023039
20,606.889530494376,21.8259405878125,0.95,0.517194945265761,-0.832186670317661,301.860500722406
21,1122.54151018145,36.0605210805078,0.86,0.725315755427914,-0.592582846170103,320.751183480831
22,417.970490343098,5.08457352552366,0.99,-0.788547991343914,-0.603398249711682,217.423277446131
23,525.165270704466,7.06069138526673,0.99,-0.932965714417399,-0.337860355229087,199.907138771571
24,392.979069537843,5.46452333630086,0.99,-0.958247227060531,0.249271547428006,165.418656207122
25,335.386212864996,5.95070358235677,0.99,-0.215536553469504,-0.957781038922973,257.317576991434
26,912.674740728487,13.3038080637631,0.96,0.402509570218581,0.882848090063869,65.4907300019257
27,396.83097129304,6.0429325740928,0.99,0.880887136242226,0.454338737072018,27.2835098522681
28,1539.80432474151,22.2936616904221,0.93,-0.204565387298457,0.901267294982107,102.788059042869
29,1272.83769283668,22.6104175120483,0.93,-0.944347305053617,0.0493635956205225,177.007717587372
30,2216.62368129645,33.6265258205092,0.89,0.16168992957683,-0.0227422945043293,351.993655987525
31,552.918142955362,20.6773954965305,0.95,-0.163766544373947,-0.964713567084466,260.36550646538
32,873.052735499825,35.5181322801543,0.86,0.950865404524457,-0.00994839212996687,359.400567017558
33,1023.33213068893,16.5118580833794,0.94,0.537554085803549,0.798260169722749,56.0433944994239
34,824.889710070926,11.4547693630209,0.97,0.669343958974867,-0.709147840153214,313.346046822164
35,473.495747181923,6.36178805804554,0.99,-0.667374517489503,0.733563382428824,132.295008839424
36,844.542181713176,12.0359889611384,0.97,0.975388465836156,0.00562233141111226,0.330260511043524
37,538.065729944379,6.93015028191316,0.99,-0.625977492397101,0.76627942995037,129.245557849218
38,1042.39310473856,16.4307593598435,0.96,-0.851255339572416,0.457323360733795,151.753793608633
39,440.739651691745,6.15803001167414,0.99,0.224706870295305,-0.967853359182567,283.070813526422
40,703.459241571644,7.82368222345528,0.98,0.0018304080691003,0.984099857310405,89.8934310015105
41,447.772031802462,5.74231936170435,0.99,-0.92030015044748,0.371643858860787,158.009716751731
42,513.344319454448,6.3127376739945,0.99,-0.894338726250875,0.428599931631889,154.394549618255
43,571.511564627476,21.7035494762028,0.95,-0.948486621670468,-0.254329257106499,195.010315420639
44,1858.59108806147,31.3608415137132,0.9,0.282346983560976,-0.78282079973949,289.833306693323
45,685.606568184724,43.8419676509316,0.82,0.90352277935942,-0.237195798432324,345.290446180184
46,782.841472014693,9.71232974059248,0.98,-0.050838274425764,-0.974028196463466,267.012224228095
47,784.217693825615,10.2295689127093,0.98,0.0102991917679244,0.976480388141272,89.3957089691832
48,1671.506787706,21.5768496169286,0.94,-0.386425075986765,-0.792517877205931,244.006525112519
49,1346.04052152523,26.2486197775798,0.91,0.0341165852594969,-0.928325018639053,272.104712238785
50,793.006902081432,30.9299428684176,0.88,0.459610756795766,0.831241292209966,61.0608731680268
51,360.106274232347,5.81654273108483,0.99,-0.437231528734607,0.886015916867689,116.265438164611
52,771.530830297944,25.4331150612797,0.92,0.958372039020826,-0.139475316157916,351.719672560889
53,617.559043392063,8.20572147018176,0.98,0.887650757311674,-0.431396937467071,334.080317572525
54,599.10778301544,7.61581573326483,0.99,-0.910463809007495,-0.38924679949404,203.147959307916
55,603.605689476245,8.42622137390287,0.98,0.778276726126302,0.608599864011867,38.0248348136731
56,488.621424385293,17.816635062621,0.96,0.235099131655914,0.954541158945545,76.1637002050131
57,397.851596813202,5.3602518082918,0.99,0.535305034640554,0.832877335981832,57.2704258918664
58,644.900112390127,28.0142653113656,0.92,-0.164813046338344,-0.957241336995581,260.230879251316
59,335.063667336022,6.1938409470321,0.99,0.904459846830359,-0.389550460080201,336.698476483472
60,1080.21550874909,17.482082444304,0.95,-0.864066522931876,-0.416567180138706,205.738754112288
61,564.467369412542,6.82140163969161,0.99,-0.29390864023376,-0.944949823058333,252.722689352285
62,944.613403524377,13.9529894525597,0.96,0.925869771112813,0.297856853029508,17.8332382540504
63,393.656155984972,5.98957352055122,0.99,0.0619467915984025,-0.987383752284746,273.589935412622
64,664.096992556167,8.25122723320594,0.99,-0.514379719810522,0.838828021127739,121.517140835642
65,846.589558442849,11.7663672489275,0.97,-0.544322699792596,-0.806355327134125,235.979046298054
