"Group.1","ele","slp","svf","aspC","aspS"
1,67.3648586715143,8.93375267905455,0.06,0.236244264666225,0.213957812765312
2,49.5918658559647,9.10438244956023,0.05,0.13664311933975,0.185820094858458
3,68.2856283024578,10.5894326034015,0.06,0.344599858879296,0.135117058649567
4,52.4782731738897,8.09201930609962,0.05,0.265090875771585,0.133298434179912
5,53.4340831943544,9.15198619438734,0.05,0.292868069485588,0.0456463953419829
6,45.8053638772122,6.13216881184248,0.04,0.28379291784232,0.136332212218006
7,69.0526277247514,9.88590455294636,0.06,0.373082252295898,0.123896491872258
8,53.3963948654862,9.39437857186048,0.04,0.146128715631282,0.234332286018644
9,50.7334761437382,8.50255213343027,0.03,0.101635675800116,0.215877032484396
10,55.2209535966048,9.03596502416566,0.04,0.0969675928541267,0.21647955124838
11,50.3124305511111,7.5259469993869,0.04,0.220889108596618,0.140715853250649
12,52.8846746525802,8.20745052310276,0.05,0.217074964130756,0.184915283504266
13,66.9999292853387,12.0269803948715,0.06,0.0537839938236581,0.296445163680363
14,54.8327322623702,8.96898086559107,0.05,0.109115660822475,0.239607750299182
15,53.1061284141712,5.38179395654874,0.04,0.305860984866857,0.0705181864641106
16,41.3555090953788,8.8790251844068,0.04,0.207004637087749,0.113030637916273
17,47.2304186168216,7.78174643687501,0.04,0.0337015370584603,0.217766378806202
18,72.0090407288708,8.25270438774377,0.07,0.357227087906716,0.114779338863634
19,50.2761374923935,8.178398582651,0.05,0.173202522658676,0.184497874959997
20,70.4123754545729,10.6235764071466,0.06,0.183628317215594,0.257243234663185
21,63.4483702835136,9.66417449019149,0.07,0.351109812606658,0.10561937847639
22,54.9705671553489,8.96280791497745,0.04,0.196267517375986,0.238869193425628
23,58.4916890684979,7.69349683621133,0.05,0.227211592709018,0.145279663311068
24,59.8839236310535,7.55527459453212,0.04,0.0394981628794084,0.258479101671628
25,57.1529440865648,10.4862436279805,0.05,0.275722459055938,0.0831826409793972
26,59.1412559380683,9.29675682616833,0.05,0.301117501441923,0.0695182927861248
27,48.4087537989236,8.66818749790081,0.04,0.0500965972095228,0.211804992503632
28,43.0483554249192,8.7516175653267,0.03,0.168387149340307,0.13817867533184
29,52.0082739425737,8.55167802983457,0.05,0.23852567927244,0.115849249033613
30,65.3991987111779,8.17432120568855,0.05,0.252872646530026,0.223593900459926
31,59.3546422624942,10.3229102147956,0.05,0.0424139248229728,0.249333411679258
32,49.03964134996,8.58138796838781,0.03,0.0698013424157763,0.199880070707059
33,43.0179047052267,8.23529166295881,0.04,0.227312023477353,0.0452236948160455
34,73.7223413948668,9.54609413245665,0.04,0.413129196252835,0.119257668763674
35,45.1029794506234,7.9181341238752,0.03,0.21174206560887,0.117232398926907
36,60.1389120865616,8.21088825685117,0.05,0.0470488726072001,0.263346239392157
37,49.7543567187227,9.31247576036252,0.05,0.286949418710642,0.0828668417081542
38,50.1179389744175,8.90293105720098,0.04,0.254231407284134,0.114622908421626
39,48.8441429520626,8.31468235598801,0.03,0.233320526915418,0.0794274648913659
40,54.2485645614471,7.75682757664595,0.05,0.154389934629157,0.200762323721706
41,50.7377564730251,9.73172405169706,0.05,0.0897987440267392,0.216709915512247
