"Group.1","ele","slp","svf","aspC","aspS"
1,43.455117544164,7.46285053484531,0.04,0.271474919951239,0.174955900345429
2,36.4150618606611,7.28112402506819,0.05,0.271059439732262,0.104121243388049
3,31.114249999109,5.82995858211761,0.04,0.135314787892495,0.141699672099017
4,43.145082865618,7.26362027287339,0.06,0.294814677191383,0.163007691663327
5,28.0210240364445,6.86158348330777,0.04,0.0207453653747159,0.176338982149793
6,27.3172356308139,5.95467977797733,0.03,0.0686881959843374,0.172964264139287
7,29.770534194596,6.00984380521168,0.03,0.156016073351925,0.118989228044127
8,20.1723684226867,3.37209165318775,0.01,0.0160424872530881,0.123462230457788
9,82.2550958136347,12.4010277895202,0.06,0.452688924731331,0.387624561353913
10,38.4731117517942,7.63059635356436,0.05,0.192523297854894,0.173903468561288
11,83.8271647331129,12.6778217899582,0.06,0.339137019892351,0.351978433173977
12,48.0028556975744,8.11180045060274,0.05,0.319444424103841,0.225726830934627
13,25.7889464212991,3.89446264747952,0.02,0.110542231174846,0.0752272292327687
14,22.9078034432638,4.71910606390557,0.02,0.128827605613897,0.0835991396897514
15,29.5068376660155,6.78586166208172,0.04,0.0205045377637267,0.193203545400123
16,35.2255276056319,7.45056681508267,0.05,0.162959630113705,0.177294695299156
17,39.5120421744364,7.57159497784744,0.05,0.0422732802995577,0.265490978297631
18,38.6422938900233,7.31892634166018,0.05,0.298143460319986,0.0674659279718464
19,36.1401706993607,7.1467117778463,0.04,0.201980417166268,0.14670118545592
20,41.9812685267179,7.30358321989306,0.07,0.285831488077346,0.159863785035306
21,42.5551982250423,8.05467381958485,0.04,0.352293183929947,0.0758559837199494
22,47.1837282006764,7.61233041317875,0.06,0.319306509425475,0.0978222485277899
23,30.4135318712594,5.89492336798533,0.04,0.161285568098526,0.129868140257415
24,51.6427789373952,7.35432656597168,0.06,0.225929159941594,0.27200512997873
25,28.6460337446675,7.60194737466568,0.04,0.222278477710594,0.0270022862963144
26,26.4492140631182,7.39728661114099,0.03,0.200024840174912,0.0387636350219958
27,34.2932355018492,7.45045712508408,0.05,0.152256488659893,0.179296545610116
28,58.341750533621,11.2417124415179,0.06,0.0628152844194116,0.320219170728241
29,45.6179240956636,8.99991175037238,0.03,0.213988793488423,0.222950543163959
30,33.5553651835729,7.12300496722358,0.05,0.132280928539954,0.16893171568743
31,47.8522047493049,7.95504487543787,0.07,0.229607198653131,0.199883138584301
32,36.6562144125135,7.0479054005139,0.05,0.230597935717073,0.15320566891093
33,40.7584076065736,7.43333403468185,0.06,0.283264723825831,0.102793742687765
34,36.0162318390721,7.37225579669652,0.04,0.159424217299423,0.170617860367395
35,40.1179291114761,7.17258575523794,0.04,0.200688581648727,0.159732683290941
36,30.9578616155261,4.94903557158993,0.03,0.071543274076561,0.132947094391482
37,37.8745770577306,8.40556645972541,0.05,0.242693517813252,0.154294243800198
38,31.0665310558516,6.937049384192,0.04,0.0556090695953163,0.182678072391792
39,28.4183192769665,5.47057504287454,0.03,0.0222081218008914,0.203118682422824
40,46.217760762488,8.0396847220413,0.07,0.164972689769241,0.273677533014225
41,25.5205395846352,5.93401666947734,0.03,0.177023271132167,0.0225940276914777
42,30.3369338939303,5.50453727533507,0.03,0.139543867981958,0.146845613552128
43,40.1184804997724,6.71047002442978,0.06,0.08192075527854,0.238917139607953
44,28.5453079477955,6.8417927471595,0.04,0.0451327468649095,0.183548172267372
45,40.3715926062453,7.47870158319856,0.07,0.0337322550159688,0.242425455469686
46,28.5019571602695,6.21049731830869,0.04,0.202746705973568,0.0623711546181507
47,28.7811942282488,7.07346967132741,0.04,0.0452588909789362,0.175696444134305
48,30.230160554199,6.44977151606094,0.03,0.0541676921827937,0.171779719288596
49,33.877047342297,7.64134659167702,0.05,0.154579924352738,0.162652457064067
50,41.9542971469748,8.25872970185321,0.05,0.299357152113938,0.132579758854142
51,35.8928097544739,6.81970147374975,0.05,0.256663381733731,0.118235692396966
52,61.6144502818539,12.369460149077,0.06,0.256324644234951,0.318607985721524
53,38.3739534532003,6.87361524389306,0.05,0.293707515567315,0.0497947476665674
54,46.6032723232216,7.88312358907487,0.05,0.201491668359446,0.204400674206243
55,32.7013575975702,7.50373739291374,0.05,0.024431149376562,0.213016827837236
56,42.7648969521778,7.52999808048181,0.06,0.263018812728965,0.114964167509742
