"Group.1","ele","slp","svf","aspC","aspS","asp"
1,914.78686242979,34.1734389564166,0.8,0.021528431147857,0.925381303356249,88.6672890648303
2,1535.53903526057,21.5220785841249,0.93,0.96441134407368,-0.170871851116161,349.952753195112
3,728.159343447664,31.8538552072509,0.79,-0.133644616508859,-0.919495577588814,261.730221269293
4,1440.5894164109,33.4134825181583,0.82,-0.92379939021395,-0.286060395721508,197.205473774904
5,1296.23654880109,20.4947444500598,0.93,0.977568750820186,-0.0466572886090937,357.267467242239
6,1247.10369137798,17.7782199638465,0.93,-0.13805758563688,-0.95919318950962,261.809612685725
7,2713.86068868007,27.5149124552708,0.91,0.714060483821156,0.639439604742317,41.8443758676373
8,1957.72957006002,45.2809977535979,0.77,-0.240179643476086,0.908310911254585,104.811411697883
9,3092.5873423749,35.8919867397713,0.87,-0.144227166329012,0.892531120929174,99.179272750377
10,682.685982669376,33.9119625397717,0.82,-0.952626166914588,0.0565520871097095,176.602657200656
11,1188.36214484083,17.7749654166006,0.95,-0.956309522127631,0.207160937663827,167.777135449718
12,2166.21791805735,42.2376670808909,0.83,0.852533268692069,-0.443657065034068,332.507597094247
13,1402.08894532572,20.4902997707804,0.93,0.877579051442416,-0.441625029806977,333.287039770273
14,939.138250723917,32.7485108945867,0.85,0.952667096138799,0.156155227132782,9.30878598163717
15,3472.7474858338,41.053379380141,0.86,0.0919253508570363,0.705676539072864,82.5781256754596
16,1381.93507189876,19.5100869132888,0.93,0.310445081059996,-0.928471958171323,288.487940253131
17,1720.30191009072,35.5579553286242,0.84,0.155683362607086,-0.947890020394547,279.32710138621
18,1781.54922389971,22.5654053306613,0.93,0.671389241753473,-0.708120661621795,313.47477847957
19,3183.57339444774,32.7253533251445,0.9,0.193261457526077,-0.869515204749402,282.53105922647
20,1086.0650178696,19.6280504686016,0.93,0.962810712189037,0.190925624568884,11.2162602728274
21,1372.52422133735,35.6627411030796,0.83,0.656034167279802,-0.715502204062958,312.517284408135
22,1217.99834484183,36.771886391803,0.83,0.933636305616401,-0.254683711604558,344.741703868462
23,676.511263785439,9.50776168501569,0.97,0.435374419633911,-0.877684847296613,296.383650411784
24,546.0854923261,6.91913110280951,0.97,-0.623976218671353,-0.759069142280757,230.578832081065
25,1915.0252625508,23.9910192149379,0.92,0.916812024792162,-0.331179406929579,340.13879304185
26,2465.03587020783,28.1860070023101,0.91,0.68792943098297,-0.680320441829031,315.318624894062
27,2624.65147410757,26.0506989066415,0.92,0.568616028422281,-0.779952584284845,306.093516501426
28,1783.79668424939,23.949046594998,0.92,0.976410366721542,0.0351765297712175,2.06326712908214
29,1636.84578948296,20.4186545418622,0.93,0.913047477648801,0.344758305818597,20.6860738972794
30,640.697326675888,9.17206087578956,0.97,0.849345734635099,0.503760954744437,30.6728782533368
31,1540.32210533526,20.3467729495849,0.94,-0.512010682305916,0.831012169581641,121.638426281054
32,3175.33243871182,36.4289347448272,0.88,0.913914919142551,0.140228908102133,8.72329345712316
33,1296.18707769415,33.6340819925767,0.79,-0.293684898167237,-0.907131989107591,252.060587361614
