"Group.1","ele","slp","svf","aspC","aspS"
1,40.4178856481491,5.80868326732838,0.03,0.274111902512963,0.0501011634701609
2,48.583484724775,8.19060985629237,0.04,0.38265396853237,0.0822744939392541
3,49.8303690763286,7.74552265451133,0.04,0.273723703394211,0.154440048270657
4,45.6559563982288,7.15364555309529,0.04,0.0453507750827314,0.207719252006587
5,47.2827523930522,6.89586794978235,0.04,0.0243366187607181,0.209957110277613
6,37.8934829734025,6.710148979061,0.03,0.279172593972582,0.0792519432833929
7,40.0661267551279,5.73020934790916,0.03,0.257497482631053,0.056285738628022
8,39.1222260546843,6.73124824526254,0.03,0.241850719951781,0.113817763275781
9,40.9999608223642,7.56104823159111,0.04,0.188417438174233,0.153434532265284
10,51.4187529841152,9.39147964721388,0.04,0.344001233730914,0.0787225108214821
11,59.4981668329078,9.26040332637822,0.06,0.439803782553067,0.132544254461096
12,41.7125909589424,6.09250675118536,0.03,0.0316118784200064,0.20724374939137
13,42.2739854371949,6.12082261407439,0.03,0.16677194130017,0.177203792755799
14,55.4060467667221,7.82440701189004,0.05,0.367454584656476,0.129793426351094
15,41.6759750497837,6.4075970102195,0.04,0.104307680284039,0.187750708125903
16,41.3964611139116,5.86495600659881,0.03,0.157748519281294,0.143840416785233
17,71.4435045000479,8.20897158547351,0.06,0.459397134043378,0.135974913223832
18,57.1538413184156,8.21491538097854,0.05,0.402746862926965,0.10159988010638
19,41.3721730141667,6.75238719541028,0.04,0.271447481191228,0.0908559359262668
20,44.9629009669989,7.19707088596126,0.03,0.165885611216748,0.152777791771398
21,42.7596542247639,6.53059893370623,0.04,0.236794578130836,0.103257265066362
22,44.4224221898615,7.26627647174295,0.03,0.0537225795295864,0.203704353915952
23,43.7787236640663,6.04022383163634,0.03,0.194049510785894,0.132806684922676
24,47.4852892448855,7.95015934604756,0.03,0.0340749902048103,0.241714906172052
25,41.9894638460764,6.54798837785258,0.04,0.269037887650633,0.0597544486101922
26,47.0170184563854,7.483520186869,0.04,0.163256397760716,0.18010601482832
27,39.484849511735,7.41715374839885,0.03,0.123232542816354,0.188126623615637
28,47.0263029028527,7.37082675337356,0.03,0.0218668575563347,0.19121104938352
29,37.3837148425232,7.35971624604632,0.04,0.252002499152418,0.0737941557953002
30,76.7017575770566,7.14473771339661,0.06,0.532719511107677,0.201437529989373
31,63.1095258791054,7.98364500427286,0.06,0.296810029574635,0.200130564513446
32,43.354623969226,7.40855963829456,0.03,0.087579330855806,0.200356592434175
33,60.9852434036438,7.14190694598307,0.05,0.0888004202698018,0.2454470884369
34,41.3741415458308,7.03557631425754,0.03,0.243715395087063,0.0912926920440321
35,37.4621857738404,5.61018631156091,0.03,0.22245547939062,0.101323194113297
36,46.2829447017052,8.34757986893677,0.03,0.31771882283654,0.18769810232517
37,42.0892778158967,5.99844243903141,0.03,0.139611133708534,0.183000545958101
38,48.6843652444678,8.43211956986135,0.03,0.0863136460627764,0.21735548854718
39,49.5531066083376,7.33080401382585,0.03,0.136900222183979,0.197948882457275
40,68.2149509712337,10.1911470498896,0.05,0.0645047530155496,0.298535811006844
41,39.6122366482863,6.40767876712056,0.03,0.274191758340049,0.0409214993273239
42,40.7866946386135,6.34284719037913,0.03,0.187133948443027,0.138882591194986
43,62.6330828180063,9.52593970558353,0.03,0.560193963005289,0.254069311594409
44,39.9650668719585,6.1255459412056,0.03,0.255554548840497,0.043830326154231
45,47.2496519281558,7.95166560379862,0.03,0.039938300784673,0.212318216936759
46,47.3079192767773,6.50502498512735,0.04,0.0573753504693948,0.185728657659077
47,44.151302751834,7.37403713457026,0.03,0.108668102384751,0.202774167419525
48,55.463961597601,8.22893657548114,0.04,0.121299977447176,0.251646852351686
49,43.950812710708,6.66943669508077,0.04,0.0259745513310208,0.206242098704771
50,39.8986021088444,6.71937273327322,0.03,0.243425633310224,0.0750918449139188
51,53.9047821494016,9.3760767246924,0.06,0.432668736200086,0.14520272649823
52,61.3202534991382,8.66717025515496,0.06,0.459861783962317,0.140542268402705
53,48.563515273176,7.16977820239147,0.03,0.146025994044979,0.195578617708836
54,45.8942538851183,6.96023969224296,0.05,0.0597086547173806,0.218326691537186
55,55.947557901216,8.31486324040275,0.06,0.424056606128899,0.131921122354137
56,49.4533312449778,7.11025449780318,0.04,0.188360214510733,0.195510146030101
57,43.4557031362651,6.83652431178239,0.04,0.0242992150012565,0.206695063817139
58,56.1462319922379,7.23229411364175,0.05,0.426164214858135,0.121195723917731
59,49.060636659114,8.01426545190225,0.04,0.0376817272598492,0.200228196179468
60,44.751656981049,7.4482073076868,0.03,0.0762240597234062,0.187638505152829
61,42.5455858971118,6.13931121781926,0.03,0.243558687288795,0.0984947437485005
62,40.634402485796,6.32707099615472,0.04,0.15660154462031,0.15705063233321
63,62.2702873727484,7.82516122768658,0.03,0.379207127925496,0.146694602192796
64,43.2847634304711,7.22927844262014,0.04,0.267121524272797,0.102956504894144
65,41.7890421404185,8.12878457881816,0.04,0.291814193743826,0.0470852417092036
66,54.2352879131447,8.94973913262145,0.04,0.370544195010573,0.0748216215647238
67,45.3509587385527,7.75653953819102,0.04,0.178631077694099,0.179738090667701
68,45.8005395313195,8.26866791824875,0.04,0.189174683014668,0.187356717936132
69,43.3497559261356,6.39191880920921,0.04,0.0528309263959277,0.205345695008802
70,48.4295732615661,7.56923705519281,0.04,0.140649449621129,0.195000313762952
71,48.0934004794508,7.77951479528164,0.04,0.070804180434417,0.216202400971883
72,72.579759463729,8.62728198321955,0.06,0.130502607755896,0.325489034305006
73,51.7688585772527,6.92671378759942,0.03,0.215157494560433,0.253606128157513
74,68.9921419529258,6.46321243437989,0.05,0.400098946805789,0.129548978093686
75,38.918308259079,5.94475118706437,0.03,0.207321736604654,0.11821939377885
76,42.6594602139043,7.01024740243453,0.03,0.197333209757021,0.137876032341124
77,53.9932041555643,8.49020176342005,0.03,0.260782310548399,0.19201167929904
78,44.7320918190429,7.0935201868151,0.03,0.157814794173286,0.1807598946893
79,48.1901859236953,7.15876487591889,0.02,0.313164929146737,0.056577560747584
80,45.1084799548551,6.67173892432815,0.04,0.078140935257758,0.2097555423263
81,50.4931692535926,7.84506225961308,0.04,0.0609264813769526,0.204031348722654
82,54.3266981188925,8.55215016900925,0.04,0.138983318443686,0.20381513414894
83,46.2208625676809,6.54860205529072,0.04,0.151806680132815,0.170035133577201
84,49.4011346564966,7.7717378902766,0.04,0.301114815839799,0.0854122013697736
85,40.4482654754144,6.24495918009761,0.04,0.197369706806787,0.127835513683047
86,43.2060581710924,7.09196528142912,0.03,0.0302794733325658,0.184736477438263
87,56.8692600054971,6.55453433168788,0.03,0.495418424022027,0.140556543779437
88,43.9656240891776,6.65464939643119,0.04,0.209479114955744,0.140118775336503
89,57.9896868615603,9.54013593805824,0.04,0.0725930587421144,0.232490189734588
90,54.573590986757,8.20248345508767,0.04,0.0534597604158025,0.272804141596188
91,41.5541291292783,6.84619740950774,0.03,0.132810161696405,0.167470975251199
92,76.8639729900871,8.56940581172145,0.06,0.299363210584548,0.226437349664723
93,43.0356334285053,7.22253219146977,0.03,0.0313488116783187,0.201084119097354
94,42.8924004483493,7.22275944040814,0.03,0.317049167902459,0.0554266383799938
95,55.2076331078524,6.77666329014445,0.05,0.0423792634578836,0.247328559412519
96,43.650274892826,7.11549467416229,0.03,0.15103987383844,0.172430965496246
97,47.7438403306867,7.33668344763616,0.05,0.0735227611233286,0.206597433489395
98,37.3418287083712,6.09230115706553,0.03,0.194126836417208,0.142850634355163
99,49.1582251953161,8.56345778204219,0.04,0.270432529408876,0.137331185427057
100,66.7748472797017,8.92291614434366,0.03,0.488921303488977,0.15581438949813
101,53.7056007251637,8.74564056274441,0.03,0.0401810852517792,0.253827243795493
102,42.4299172376569,6.93658733208025,0.04,0.16495416061149,0.186706753828945
103,50.9211472031876,7.49340926112381,0.04,0.153334722362726,0.19492904210711
104,39.6872392147615,5.83421223424336,0.03,0.290475604774439,0.0822804243674873
105,41.6611409234291,6.88630955485034,0.03,0.302072573276485,0.0523570195962785
106,48.0072639909619,7.93874724461086,0.05,0.0725219582625367,0.239550542492491
107,49.3348481825026,6.57229606873873,0.04,0.142862974715963,0.181838491020921
108,50.0185781348486,7.04309483204708,0.04,0.336545093794705,0.0879275599279428
109,47.1803494841674,7.38948744716623,0.04,0.1204309663869,0.203765301386218
110,39.9443034495981,6.97409628767813,0.03,0.0743937116624025,0.184963608001317
111,42.5326568145292,7.36760776624009,0.05,0.18991012467637,0.174758234777064
112,54.5402231218779,7.81693331790179,0.06,0.0466927886994091,0.251268703865261
113,52.3174106513839,6.97380795554392,0.04,0.290188795602554,0.182001644924944
114,85.0338918025903,7.61780246876218,0.05,0.455079388175474,0.241332932148626
115,44.0151603382287,7.34502131671971,0.04,0.315360504044325,0.0651367382183055
116,40.2574093966593,6.4417064251301,0.03,0.181689989903004,0.139103010954811
117,51.1145774720374,7.54386579182788,0.05,0.0950312908403821,0.224564380555114
118,40.5844740880716,5.75407992914986,0.03,0.222950658930394,0.130257159386619
119,44.8515299106468,6.25691928730782,0.03,0.27542736753584,0.0417195608519963
120,41.4487745225165,5.50255473781127,0.03,0.206192284770529,0.126636861075653
121,50.1212362530529,6.45156714893187,0.04,0.0413228164819583,0.207915964167764
122,42.7800672287625,6.34893518990443,0.04,0.0898953785239621,0.189901921072462
123,58.2988655322721,8.29315637820752,0.05,0.111740792656659,0.25079371842312
124,43.7390781481234,7.0085555193358,0.03,0.135125684266116,0.165243972248205
125,44.6751795222753,6.21007026998445,0.03,0.181526474112122,0.154042876119482
126,39.1203446749219,6.20753674564686,0.04,0.260027685796527,0.0363873357897539
127,54.1704904890224,8.02939339356694,0.03,0.0777119583687486,0.239341942356857
128,57.1161150257108,6.6038726200796,0.05,0.131384631407027,0.259029438289127
129,46.3110684364252,7.89932734299411,0.03,0.131517128163994,0.19297257828942
130,40.1698007659855,6.77250079188849,0.03,0.242947857516206,0.0958761792931107
131,53.3325782490949,7.42359580926097,0.05,0.244419597359854,0.170491070499651
132,61.1286025699409,8.30184386416972,0.04,0.564661364907377,0.31194773975786
133,66.9255186340946,7.51546969256931,0.05,0.0529337630143228,0.274952639404256
134,44.839276488667,6.66799521586956,0.04,0.142212657092611,0.177942457503549
