"Group.1","ele","slp","svf","aspC","aspS","asp"
1,2009.28333562333,23.1974037523775,0.93,-0.0992623391791598,-0.968487823098032,264.148069623178
2,1806.54185888486,24.2075762337411,0.93,0.705734321311687,-0.67962384954246,316.079751620014
3,641.793997784871,15.8342860757199,0.92,0.552660154279144,-0.786752839828452,305.086397128405
4,2264.0466620865,34.5487391872769,0.84,0.551658001969114,0.793558041818195,55.1941196049037
5,654.115070617004,15.5573945430527,0.92,-0.16955379826226,0.935609275725775,100.271825648256
6,862.590289962354,16.9838277996456,0.94,0.825715687915597,0.511706242938444,31.7870080816843
7,1947.39773964729,21.8800006778427,0.93,-0.977725466707384,-0.0695738016059266,184.070239969938
8,2629.37954817407,24.0178405186846,0.92,-0.138951717171126,0.956364061138354,98.2667530424394
9,1461.56149897197,22.4606639465708,0.92,-0.708951955601577,-0.677279735143483,223.691150328544
10,2101.37683076087,23.153017180792,0.93,-0.970812419072163,0.132199543606914,172.245493540905
11,1240.11365549834,21.3146398878544,0.92,0.935252735464906,0.288292255005234,17.1319477969811
12,1465.46726476664,38.5380239659664,0.79,0.510438852856833,-0.8154078516171,302.046239914486
13,2738.02453095382,45.722866839481,0.78,0.379519125628373,0.862224430072055,66.2426908213189
14,989.978094943932,18.5555936161415,0.92,0.19108456017034,0.942120214174424,78.5345740367192
15,2169.061739551,38.7002422756402,0.82,-0.781357653102354,-0.562894021828753,215.769169696897
16,2448.99991462167,22.3625271518546,0.92,-0.0143917267429721,0.972038573936504,90.8482430431098
17,2270.43664848812,21.6022818364867,0.94,-0.575465017544702,-0.787373059221351,233.838161538095
18,3447.92753623211,37.6619894003379,0.87,0.0130825386797185,-0.890130672988082,270.842033994814
19,727.593851497321,16.7385586739103,0.93,0.972949405912924,-0.0763164176479015,355.515004170597
20,1899.52012902746,38.7645578859584,0.78,0.247013105550311,0.924729255435148,75.0443690415064
21,2073.3716486712,22.2157022399136,0.93,-0.780398939537767,-0.588275090959059,217.009472510367
22,2163.11638016857,39.8955056241196,0.82,0.966584137057346,-0.0752310538315863,355.549534369851
23,1622.00336074268,20.3074435886884,0.93,0.113049969578215,0.967930767976661,83.3382919029699
24,3206.97245397044,34.9147048346099,0.89,0.434603403250558,-0.822808932477767,297.84278143423
25,1084.41265234048,33.7969348812423,0.8,0.23359431963573,0.921944066606847,75.7820934714214
26,1875.18828496751,21.8963253305049,0.92,0.750595005107374,0.621150980109222,39.6092795490529
27,640.698000745684,14.866938851129,0.93,-0.92681735540051,-0.289650958321524,197.355181145185
28,486.662418717602,9.53607489000876,0.94,-0.784973720789004,0.577969944736284,143.636077798552
29,1170.82796673196,37.397952540541,0.79,0.676843814831831,-0.681678018088007,314.796117906898
30,481.437048374871,8.19396794102748,0.94,-0.6799283511719,-0.70320598822988,225.964175659172
31,2389.03919008143,42.2197258396816,0.82,-0.942717532390517,-0.180535546904861,190.841194734639
32,780.875561209525,36.26085059498,0.79,-0.188741919761858,-0.917675155587748,258.37781879244
33,1334.54761496798,20.2885961160132,0.92,0.417058878684252,0.873975691698605,64.4896475031262
34,1772.84783447807,24.6612430129826,0.92,-0.97562073045321,-0.033274337834371,181.953361967813
35,3226.88254308134,37.4839047701867,0.87,-0.805414664717723,0.498652786739524,148.237292511078
36,1901.31657130606,23.7255929087892,0.92,-0.690285065604357,-0.689302590789041,224.959196756641
37,678.736128427194,16.6173133261782,0.93,-0.350586588481606,-0.896836474338964,248.648739470076
38,1296.88375997276,32.2443854482721,0.85,0.376580660357641,-0.891142677290567,292.908033693787
39,2561.61535244002,23.0525506489674,0.93,-0.5801044058272,-0.778686564477201,233.314697724098
40,2322.36924362352,40.0915981592667,0.84,0.698863335576371,-0.677916135134315,315.871667255282
41,2309.47823226576,37.9855657726124,0.85,-0.199690829168879,-0.942415851420707,258.03640939321
42,1050.21107768487,22.4602425460142,0.9,-0.622937852911982,0.744742752155358,129.910695765632
43,1386.30167240826,20.8347263706031,0.94,0.554926378621758,-0.806030256731043,304.546183771643
44,2503.19861982922,22.8432165775093,0.92,0.965006887410269,0.160856197422104,9.46357672050294
45,894.468880615697,20.3385105208548,0.91,-0.167899901264438,-0.946759198421088,259.943622866636
46,2181.01927968386,52.3548035504911,0.66,0.382627046822835,0.77432205552707,63.7039696305133
47,2161.17817712361,19.3725720988461,0.94,0.553465226287263,0.803239958046396,55.4315671657554
48,1792.06511779147,21.9812182785754,0.92,0.132204227893696,0.962187954000442,82.176570030405
49,2869.23904967458,22.6857268552143,0.94,-0.0132605916283765,-0.965380976581664,269.213027630667
50,2847.35245935338,26.1901323201662,0.92,-0.95422036784811,0.179463777760845,169.348592488841
51,1131.59439590364,36.9829935929837,0.79,-0.95783714309632,-0.00221868147050986,180.132716566597
52,1322.90803700623,39.2720511251677,0.77,-0.441961678501826,-0.839696029333768,242.240583115411
53,2136.48725605277,23.1943713578775,0.92,-0.194892571153745,0.955107774894135,101.533043657253
54,2515.12359903546,30.9614503021676,0.89,0.838141989352247,-0.506861837698612,328.836775585432
55,3431.24225085974,40.8131893021256,0.84,0.000383917379073841,0.890633749250058,89.9753020316615
56,1578.56466407094,35.8049916980789,0.81,0.953420788416874,-0.18723658587599,348.889418495022
57,558.376457944185,33.3328704826816,0.8,0.354416197143329,0.850541959098374,67.3787739000599
58,1589.6461173482,22.9507524562982,0.91,-0.562975809113822,0.803836756619999,125.005894524096
59,1618.36753206057,23.4398475209639,0.92,-0.88772102089184,-0.415081949100421,205.059921989923
60,2933.14243344327,27.4225845034777,0.91,0.547237847169645,0.780861835257903,54.976742698625
61,2668.61611319847,20.4434226563138,0.94,0.954670215903706,-0.173292896458538,349.711624920151
62,2111.21754066822,22.0362642683144,0.94,0.462125704552884,-0.863806198438213,298.146233980298
63,1162.95501979007,19.6627794687841,0.92,0.561004720509678,0.799928286739988,54.9572999129692
64,1787.18030450985,39.5770705816735,0.78,-0.805818405018699,-0.519440398575959,212.806323174324
65,1909.34388997948,21.4169828821688,0.93,0.95705852345564,-0.204664891737171,347.929232340729
66,739.300946024034,17.036497185605,0.92,-0.912775526821096,0.33641122360978,159.768204435638
67,2372.55532581347,21.9996966161698,0.92,0.72077579306214,0.652626161392822,42.1592539127933
68,2363.44147703394,24.4099968432859,0.92,-0.603012244272853,0.773619371942188,127.935306867133
69,2417.92354388007,22.5069856851609,0.94,-0.230203505226671,-0.948645431733622,256.359950830696
70,1832.62180007338,41.058023608753,0.79,-0.621800952630111,0.734025021036018,130.268315084969
71,2480.65025778639,42.6982097210212,0.79,0.380604380124362,0.873464211573168,66.4552571097201
72,2517.75398354775,20.2144370084838,0.94,-0.726533140051632,0.648761748252085,138.236565417878
73,3053.75908674458,52.5373915940357,0.74,0.0929928578986664,0.87125647011619,83.9076463160078
74,2703.74546306251,44.6076827269824,0.81,-0.872173577737833,-0.360070241416195,202.432911271504
75,1049.4516546159,37.5618235008292,0.78,-0.283957977709538,-0.898337023375387,252.458623111646
76,1756.5593535873,22.9612989469034,0.92,0.979560682226325,0.0150879840364782,0.882446046782617
77,1330.70014011904,22.9247449888524,0.91,-0.45218510808114,0.861829840996793,117.685109682796
78,2558.41157197923,22.3433060210769,0.92,0.604681192593846,0.763477517139308,51.6204533045352
79,3763.39810012893,41.6142444663085,0.85,-0.158752677965661,-0.703804952522333,257.2888921344
80,2712.76347365526,25.1453613340417,0.92,-0.245999353555139,-0.933876631452331,255.242532520655
81,1741.92245302814,36.6351729348685,0.8,0.791998069753853,0.544804157629129,34.5235270322129
82,1193.08847482453,19.8056937327587,0.93,0.43604010832543,-0.865709620023846,296.7334544502
83,672.693990782208,34.7182362726814,0.77,-0.697941605710102,0.621906342581168,138.297114480042
84,912.121163151563,38.4845948773529,0.76,0.718040731624066,-0.625952346826527,318.919694278485
85,3496.79881563712,39.6801157092657,0.86,-0.924476801878309,0.0270499976776242,178.324015667362
86,933.387682257666,21.2773173327746,0.92,0.962328205549015,-0.185539018709845,349.087151353423
87,2052.5478163111,39.4376384362358,0.81,-0.387521308523063,0.879398219020996,113.781478834631
88,2152.36721282067,24.8587210362431,0.92,-0.220435364557786,-0.951960039603334,256.96240245767
89,1471.68961921217,22.0921215482615,0.93,-0.981201247100592,-0.0560864949248199,183.271526983723
90,1255.03171613621,38.9491529944624,0.75,-0.581013285997511,0.756327635849138,127.531583886175
91,1467.28989480303,20.2452493131646,0.93,-0.0847112347235637,0.971343046571381,94.9841785178011
92,2800.69453318616,21.8284100146812,0.93,-0.223453084684738,0.926158116876598,103.564452652483
93,1689.90348749917,20.322395596094,0.93,0.713834750957203,0.668863136366114,43.137137739333
94,2032.69760903605,22.5350519105325,0.93,-0.698670121890828,0.680849624170043,135.740099967752
95,2700.67917438991,21.6421182894935,0.94,-0.899500332010097,-0.369548419177784,202.33469415383
96,2416.01012920987,24.3641404657173,0.93,0.495024026879044,-0.84328893014202,300.41361240683
97,1862.46832965876,22.284798788988,0.94,0.0514327620244219,-0.972327648898338,273.02792613341
98,2246.79020909623,22.8052810314122,0.93,-0.966194551428597,-0.150127810948936,188.832022389639
99,1535.81721250802,32.7674886620864,0.81,0.626948281004304,0.730096993156044,49.3466814642533
100,2377.68517519321,23.3441041732915,0.93,-0.951360669048081,0.245293641329654,165.542060462791
101,3416.64099352927,43.4778331003599,0.82,0.925983687516997,-0.0677931633891524,355.812729164861
102,2872.73019660412,27.006021365476,0.92,-0.763293612685536,-0.602196153366451,218.27147333546
103,1614.81550265655,21.152955289758,0.94,-0.942955522818039,0.27485393930053,163.749581732423
104,2284.7901702054,40.9953293833331,0.81,-0.360329658247803,0.892581023039972,111.98363719763
