"Group.1","ele","slp","svf","aspC","aspS","asp"
1,804.065367349708,36.0828234069772,0.78,0.449291129262617,-0.839117266729585,298.166068877941
2,317.57014329738,7.40802838159093,0.99,0.0295026290444544,-0.989771304096465,271.707339626866
3,1117.10057435291,26.4427061183403,0.9,0.167587077434533,0.955589813208766,80.0528784621143
4,565.082636740064,17.1330125999617,0.94,0.916362899350288,0.354116426443766,21.1283708901764
5,2320.31576057618,28.8860599581809,0.88,-0.220321517490893,-0.914564315686508,256.455342845336
6,1404.63479805662,38.8232490838279,0.78,-0.34746261277254,0.886868732489252,111.394542655775
7,619.789711968163,31.653518261097,0.81,-0.956148113229696,0.114596275378568,173.165585441804
8,379.056262360093,11.1170103851731,0.97,-0.373520361299709,-0.915623528742097,247.807439456616
9,410.605254126793,12.2941571128306,0.97,-0.892647277637447,0.422751863255531,154.658073553589
10,1649.61200603184,40.9860243457774,0.78,-0.730912665594449,0.611627047133538,140.077438010757
11,891.730853614024,21.9381504871989,0.93,-0.896669762316053,-0.387889407320583,203.392774376324
12,277.911135872546,7.18267996573572,0.99,-0.357949037769433,-0.927076091297352,248.888158570222
13,227.914144514372,6.03544380207914,0.99,0.150341033991696,0.983802293387747,81.311488181177
14,1888.80857250112,40.5817001922017,0.77,0.861751480523364,0.379425117137248,23.7636675574607
15,3674.60067768164,34.0242480430978,0.88,-0.505402606150922,-0.478443337401655,223.430378359844
16,1057.86362389748,25.8842115988978,0.92,-0.590808461730123,0.776451799349271,127.267800143985
17,1672.49279116493,28.1882182222367,0.9,0.603791054491204,0.75258856714041,51.2604260668647
18,716.620665583013,19.5412806291448,0.94,-0.909179437398295,-0.370956946099464,202.19609355391
19,1171.37015221586,28.7678236898619,0.9,0.564508572789623,-0.790645613691226,305.526241627746
20,826.059284410132,60.2582270258878,0.16,0.0901419376487924,-0.171598205843157,297.713312288578
21,2854.60037576237,24.5698835487313,0.92,0.31071981862498,-0.853875092537018,289.99613084562
22,333.252034168182,7.67313106462239,0.99,-0.992280712724116,0.0107580074585101,179.378840819388
23,166.263730587342,5.03771429328373,0.99,-0.907652692322279,-0.409044380470944,204.259269616218
24,705.737666486813,22.0593572415794,0.92,0.673152813263837,-0.707250779282196,313.584999091942
25,2420.44172042337,33.1161631207028,0.87,-0.752058342005917,0.587265855271722,142.014503630362
26,1861.85782857438,28.0789036658859,0.9,0.644928292014503,0.716659921977405,48.0156868799435
27,2190.02118067766,32.8306783154697,0.85,0.948975794400907,0.116282192327443,6.98588004534877
28,159.068227292935,5.15202970285828,0.99,0.263704119008519,-0.958090490225749,285.38899531587
29,330.740917048534,8.45271477334398,0.98,0.899641329515392,0.4168902615988,24.8628212247692
30,3212.89588939283,27.5617351565406,0.91,0.494816531073521,-0.655362411462997,307.053801861015
31,237.961425049662,5.68808743416643,0.99,0.958060666937094,-0.269052578085699,344.313642626798
32,1559.06928457897,30.5872139017537,0.88,-0.102363421896272,0.965455293342454,96.05223462208
33,1868.09219648909,32.003898110429,0.88,-0.814296102714898,0.527748713618983,147.052558594015
34,739.299309479475,32.5838958824237,0.83,-0.502965466872441,0.820550976490829,121.506658726736
35,928.642306361595,36.7153018917174,0.76,0.954272757147626,-0.0268336902574408,358.389294722159
36,2377.87408801792,27.4022673312144,0.89,0.827616179875606,-0.446203525473887,331.668981143203
37,1946.53529684797,39.3562225375034,0.76,0.513183890199656,-0.758136383423336,304.094142339855
38,2338.37403694623,30.7196003349895,0.87,0.693002984015296,0.652451282663222,43.2736401844785
39,164.830135697713,4.68640408008876,0.99,0.992690735816128,-0.0755804775202049,355.646072260327
40,2481.65744372209,29.7882093897737,0.9,-0.853334619918612,-0.408889484802417,205.602186427913
41,360.689864859424,8.86631658283319,0.98,-0.207692853936196,0.968996674650534,102.097623802443
42,160.2968678054,5.24991051744613,0.99,0.321594461945074,0.942072131529135,71.1516729596265
43,1245.24587126543,37.3654755292461,0.8,-0.909565401437517,0.316621881664992,160.806871234053
44,236.669360698163,5.85546283135225,0.99,0.992030818936667,0.0824346036283667,4.75018350968464
45,579.79766699045,35.3236968601281,0.75,0.693005594139228,-0.633250670234028,317.579736033137
46,1070.25146537815,36.174698020707,0.77,0.519238523856438,0.810096474776597,57.341798724126
47,647.99998903364,18.1621891963196,0.95,0.0402313479965267,0.98026395504262,87.6498232786826
48,1920.81462391425,29.0339014149902,0.89,-0.143710800184877,0.954601404728808,98.5613217045804
49,245.890337676634,6.20836981357292,0.99,-0.463789727503726,0.880890931423985,117.766838192353
50,456.362040326761,14.4182139109384,0.96,-0.745911677082052,-0.645812021941078,220.886088285994
51,878.679109378033,22.3613213710406,0.93,-0.63683615507217,0.745062252031332,130.521908720924
52,1122.43681592744,28.1474917036557,0.89,0.877116522217465,0.418633893471381,25.5144077170134
53,1145.03934895791,26.204259330857,0.92,-0.958470013563006,0.177654380207346,169.499279708455
54,1444.55952674383,28.4010042416318,0.89,0.504871669913059,0.82313226664041,58.4769521264993
55,2651.53446205049,33.3098894355889,0.86,-0.751453194815619,0.563677017559831,143.125851251542
56,436.906029114453,14.9352010486453,0.96,0.777940008892941,0.605583044072587,37.8987741909164
57,417.910666142315,12.5639030546745,0.97,0.312807284516745,0.935782113928313,71.5165773128461
58,447.157390364736,13.8624446381125,0.96,-0.982325288509068,-0.0972000974629961,185.650964872629
59,1163.29774777352,37.9616610990058,0.75,-0.700374462147702,-0.638518809893141,222.354867877012
60,1267.57211046309,27.4375320795129,0.9,0.723938984194176,0.648452740249912,41.8517083101093
61,236.290608548424,5.99933545389085,0.99,0.91113667302874,0.401475572620336,23.7798038380144
62,1284.83450108341,29.8269809645365,0.88,0.0985401419065815,0.971805268029937,84.2100512665237
63,158.3765146708,5.01802134378994,0.99,-0.0839757088397498,-0.991369267746903,265.15821665495
64,951.067462628436,25.1454201344347,0.91,-0.37396826939281,-0.89866452072962,247.40595959942
65,2004.74348360528,45.3622166082221,0.77,-0.460807044265251,0.805401106387966,119.775860265514
66,1243.32908168362,28.5103871759276,0.9,-0.814255026207921,-0.525974502033783,212.860759855318
