"Group.1","ele","slp","svf","aspC","aspS"
1,63.6071494269237,8.8662137188214,0.03,0.394970162897683,0.163355482979381
2,40.1880097673516,6.94609018145615,0.05,0.0502178386055483,0.201933424955148
3,42.0687998062509,6.95286953809533,0.04,0.240185780698576,0.138477143123974
4,45.293387817616,7.36877426061492,0.04,0.0347580601156669,0.249001474407705
5,39.6205236066038,5.82485511575467,0.04,0.105161894080836,0.187960834355765
6,50.0525408460613,6.99254147517194,0.07,0.321263288109026,0.118486691039005
7,41.2064228652092,7.02400960121499,0.05,0.178330701533824,0.173555333812745
8,56.5265271412801,7.19061965919069,0.06,0.200578243553144,0.220792761594718
9,39.7452401671414,7.00497675263428,0.04,0.0291557639478174,0.230933017462193
10,45.4816940230937,6.55519569948796,0.04,0.0425958725990666,0.224530263121175
11,44.7083737433572,6.15446108380575,0.06,0.136489216096389,0.202454903081723
12,44.7564675873447,6.51913395344071,0.06,0.173324011140885,0.204680414953511
13,39.8585372441833,7.08588342409389,0.06,0.157204425359493,0.162637582572137
14,40.8591451339946,5.84523088263764,0.05,0.281693228611831,0.0438727017752538
15,37.8792521243268,5.93047569839201,0.05,0.272996254143078,0.0529092208575628
16,40.6203744366451,6.7509019472948,0.06,0.22226434039398,0.131738813624975
17,57.2935356270973,7.70744905664281,0.06,0.163345822681592,0.275592613905686
18,39.2619730782078,4.98848224424527,0.03,0.0747214094451494,0.189419899777959
19,54.5516740253855,6.27063738743903,0.06,0.369153729028094,0.117396394005831
20,38.5944836861934,5.68194312601058,0.04,0.236851849343869,0.108419828693342
21,47.6428739677008,7.21138660995548,0.03,0.111231464169343,0.225744791830252
22,67.7248114193583,11.1594091321043,0.05,0.111863810937994,0.36237320584701
23,48.1614545828619,7.2124848060485,0.05,0.0976799627661448,0.229259803084878
24,44.7982517612199,6.05358467640836,0.03,0.290272176209762,0.0459441929448736
25,43.1554317104059,7.34457586849858,0.05,0.250301750856161,0.159278622554433
26,36.8382702437821,5.21242086673497,0.03,0.0365874390598382,0.176493437512466
27,41.0014346137204,6.43502108539832,0.05,0.0355274643038099,0.22890263604803
28,43.9264254222242,6.22225758238492,0.05,0.205575260638064,0.13853970574635
29,34.6425212440497,5.612488666752,0.03,0.21683344190055,0.0349236707654234
30,38.5683438885929,6.21517091335877,0.05,0.1199877262413,0.153330673288059
31,40.4652764215602,6.63010748864183,0.06,0.0822628389703095,0.199586126057888
32,43.0332023589326,6.91749518375777,0.05,0.0722986979958295,0.225434381113552
33,37.9552335640877,4.6276750474521,0.04,0.050580465705765,0.209632759646059
34,60.1953633517584,6.56376329668966,0.07,0.286788618648641,0.219983512711818
35,37.1155461279144,5.63751475265049,0.04,0.261877300524172,0.076582652004393
36,47.8304284646177,7.03930143113119,0.05,0.0530062306913715,0.255556550804878
37,42.5332577437384,6.50097887458524,0.05,0.240845703862257,0.156897786186598
38,39.2058408907371,5.32151261630963,0.04,0.144221517412859,0.142195307927757
39,45.946490049219,6.57444302280974,0.05,0.147551374812649,0.192404210786069
40,38.2084291659831,6.15541343152087,0.05,0.0273341874647131,0.204488814996765
41,38.1412116668277,5.64987251199694,0.05,0.225534437557177,0.111780334654669
42,70.589051092553,12.0225672546559,0.06,0.501911071249442,0.26994939422132
43,45.1860069826122,7.41967696487833,0.04,0.180458469527279,0.225661872317203
44,36.4346103473625,5.95365694171777,0.05,0.118642072992395,0.181648233473521
45,54.9839060185195,6.8501943157765,0.07,0.352634422995184,0.172067688231273
46,45.7239323670274,6.95758366084021,0.05,0.201030165415604,0.178024944328285
47,49.2723216070156,7.7238826190744,0.05,0.0294129784084495,0.232527568830226
48,38.795065004515,6.94747968469086,0.05,0.275164775757323,0.0449560945944408
49,60.9964897913156,8.23830325755535,0.05,0.273428198694971,0.211851572562532
50,51.4257952114135,7.38692999075475,0.03,0.343758154009876,0.122554413700821
51,38.5575645645186,6.58927718819337,0.05,0.270170574274375,0.0858516303203685
52,56.3395495358268,7.95930911238158,0.07,0.164296558758112,0.250766195999918
53,35.3743244718992,5.0775428587794,0.03,0.247274990020434,0.097046204305684
54,41.1062556249897,6.69710614718206,0.05,0.0539726934915155,0.216131817067641
55,36.1285835855699,5.98040357239951,0.05,0.176289038808109,0.136043513613862
56,38.00771417185,6.25410325197196,0.05,0.173173905749639,0.178210424924295
57,38.7181982634838,6.92477787337735,0.04,0.242904132746037,0.0743831432122037
58,42.7960867876831,6.03268397098543,0.05,0.254121574094955,0.0975888112211779
59,38.4971905551108,5.95084366156673,0.04,0.262068906278992,0.0812910585044979
60,46.2465189143895,6.06503281284766,0.05,0.0578748544681615,0.211964129455776
61,57.9236256770271,6.34625670549839,0.07,0.288975941404778,0.190686278909527
62,41.6709622085251,6.80901167680218,0.04,0.110891166816855,0.20491169444038
